日期,收盘,开盘,高,低,交易量,涨跌幅
2007年5月14日,2885.51 ,2823.46 ,"2,919.44","2,803.53",3.96B,0.61%
2007年5月11日,2867.97 ,2868.63 ,"2,880.86","2,809.70",3.68B,-0.62%
2007年5月10日,2885.72 ,2864.10 ,"2,903.71","2,844.49",5.17B,0.89%
2007年5月9日,2860.31 ,2833.34 ,"2,867.09","2,760.22",6.57B,1.03%
2007年5月8日,2831.26 ,2827.12 ,"2,849.59","2,795.74",4.09B,2.66%
2007年4月30日,2757.83 ,2715.89 ,"2,768.95","2,694.24",3.49B,2.85%
2007年4月27日,2681.30 ,2706.36 ,"2,717.97","2,654.95",3.08B,-0.77%
2007年4月26日,2702.13 ,2696.40 ,"2,711.41","2,664.76",3.07B,0.86%
2007年4月25日,2679.08 ,2649.67 ,"2,695.39","2,608.74",4.37B,0.75%
2007年4月24日,2659.21 ,2673.98 ,"2,693.58","2,640.27",4.32B,0.29%
2007年4月23日,2651.43 ,2573.99 ,"2,651.61","2,570.48",4.70B,4.08%
2007年4月20日,2547.50 ,2465.74 ,"2,553.53","2,465.74",3.54B,3.87%
2007年4月19日,2452.55 ,2555.08 ,"2,558.79","2,380.32",4.51B,-4.14%
2007年4月18日,2558.52 ,2578.85 ,"2,578.85","2,530.41",3.77B,-0.72%
2007年4月17日,2577.01 ,2595.05 ,"2,603.70","2,504.10",3.56B,-0.32%
2007年4月16日,2585.34 ,2519.66 ,"2,586.80","2,519.33",3.32B,2.68%
2007年4月13日,2517.79 ,2538.40 ,"2,551.06","2,507.58",3.75B,-0.68%
2007年4月12日,2535.10 ,2513.85 ,"2,540.54","2,502.18",3.37B,1.06%
2007年4月11日,2508.47 ,2486.97 ,"2,514.02","2,464.21",4.19B,1.40%
2007年4月10日,2473.76 ,2459.41 ,"2,479.20","2,419.84",4.25B,1.26%
2007年4月9日,2442.93 ,2398.86 ,"2,443.10","2,398.86",3.47B,2.19%
2007年4月6日,2390.64 ,2369.89 ,"2,399.83","2,361.36",2.94B,-0.08%
2007年4月5日,2392.64 ,2367.42 ,"2,398.47","2,352.92",2.88B,0.84%
2007年4月4日,2372.66 ,2367.92 ,"2,386.15","2,350.86",2.97B,0.41%
2007年4月3日,2362.98 ,2352.38 ,"2,367.71","2,337.77",3.08B,0.87%
2007年4月2日,2342.53 ,2299.49 ,"2,343.20","2,299.49",3.04B,2.37%
2007年3月30日,2288.26 ,2287.71 ,"2,313.48","2,274.72",2.84B,-0.57%
2007年3月29日,2301.48 ,2285.02 ,"2,351.35","2,281.25",5.81B,1.03%
2007年3月28日,2277.97 ,2240.24 ,"2,280.57","2,184.40",5.19B,1.82%
2007年3月27日,2237.22 ,2234.63 ,"2,244.21","2,216.80",3.01B,0.32%
2007年3月26日,2230.00 ,2204.77 ,"2,230.83","2,188.92",2.86B,1.36%
2007年3月23日,2200.04 ,2206.54 ,"2,220.37","2,151.88",2.81B,-0.38%
2007年3月22日,2208.47 ,2212.16 ,"2,228.32","2,199.78",3.19B,0.71%
2007年3月21日,2192.93 ,2182.45 ,"2,204.07","2,170.93",2.14B,0.82%
2007年3月20日,2175.13 ,2184.31 ,"2,187.23","2,152.96",2.22B,-0.05%
2007年3月19日,2176.15 ,2060.76 ,"2,195.28","2,054.93",3.41B,3.25%
2007年3月16日,2107.63 ,2145.92 ,"2,154.73","2,085.36",2.78B,-1.42%
2007年3月15日,2138.05 ,2098.64 ,"2,138.92","2,098.64",2.11B,1.78%
2007年3月14日,2100.56 ,2119.87 ,"2,123.01","2,074.50",2.31B,-2.30%
2007年3月13日,2149.97 ,2145.18 ,"2,152.00","2,125.96",2.21B,0.44%
2007年3月12日,2140.53 ,2146.98 ,"2,148.29","2,105.84",2.29B,-0.17%
2007年3月9日,2144.22 ,2154.51 ,"2,171.84","2,125.56",2.86B,-0.28%
2007年3月8日,2150.15 ,2134.76 ,"2,150.95","2,105.66",1.83B,0.97%
2007年3月7日,2129.48 ,2086.62 ,"2,143.59","2,084.03",2.32B,2.53%
2007年3月6日,2076.87 ,2015.69 ,"2,101.00","2,004.38",2.17B,2.83%
2007年3月5日,2019.73 ,2062.03 ,"2,088.47","1,978.57",2.56B,-2.38%
2007年3月2日,2069.07 ,2033.90 ,"2,082.05","2,022.86",2.15B,1.44%
2007年3月1日,2039.68 ,2097.10 ,"2,097.10","2,009.53",2.83B,-2.70%
